starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 13 18:27:24 2018	1520987244	143	25424	25567	25163
Tue Mar 13 18:27:24 2018	1520987244	145	25425	25570	25277
Tue Mar 13 18:27:24 2018	1520987244	106	25536	25642	25324
Tue Mar 13 18:27:24 2018	1520987244	104	25587	25692	25417
Tue Mar 13 18:27:24 2018	1520987244	137	25654	25791	25452
Tue Mar 13 18:27:24 2018	1520987244	152	25642	25793	25407
Tue Mar 13 18:27:24 2018	1520987244	101	25784	25885	25521
Tue Mar 13 18:27:24 2018	1520987244	194	26426	26620	26270
Tue Mar 13 18:27:24 2018	1520987244	154	26499	26653	26280
Tue Mar 13 18:27:24 2018	1520987244	137	26537	26673	26368
Tue Mar 13 18:27:24 2018	1520987244	141	26534	26675	26230
Tue Mar 13 18:27:24 2018	1520987244	156	26577	26734	26424
Tue Mar 13 18:27:24 2018	1520987244	141	26625	26766	26413
Tue Mar 13 18:27:24 2018	1520987244	160	26620	26780	26474
Tue Mar 13 18:27:24 2018	1520987244	159	26702	26861	26554
Tue Mar 13 18:27:24 2018	1520987244	129	26739	26868	26573
Tue Mar 13 18:27:24 2018	1520987244	160	26967	27127	26704
Tue Mar 13 18:27:24 2018	1520987244	163	26968	27132	26817
Tue Mar 13 18:27:24 2018	1520987244	161	26991	27152	26840
Tue Mar 13 18:27:24 2018	1520987244	161	27111	27272	26934
Tue Mar 13 18:27:24 2018	1520987244	149	27190	27339	27010
Tue Mar 13 18:27:24 2018	1520987244	145	27218	27363	27052
Tue Mar 13 18:27:24 2018	1520987244	139	27270	27408	27123
Tue Mar 13 18:27:24 2018	1520987244	137	27277	27414	27132
Tue Mar 13 18:27:24 2018	1520987244	174	27280	27454	27110
Tue Mar 13 18:27:24 2018	1520987244	145	27315	27460	27134
Tue Mar 13 18:27:24 2018	1520987244	160	27302	27462	27107
Tue Mar 13 18:27:24 2018	1520987244	168	27316	27484	27167
Tue Mar 13 18:27:24 2018	1520987244	163	27325	27489	27002
Tue Mar 13 18:27:24 2018	1520987244	161	27352	27512	27172
Tue Mar 13 18:27:24 2018	1520987244	155	27360	27515	27209
Tue Mar 13 18:27:24 2018	1520987244	160	27418	27579	27201
Tue Mar 13 18:27:24 2018	1520987244	149	27441	27591	27292
Tue Mar 13 18:27:24 2018	1520987244	187	27405	27592	27251
Tue Mar 13 18:27:24 2018	1520987244	143	27479	27622	27322
Tue Mar 13 18:27:24 2018	1520987244	160	27489	27650	27343
Tue Mar 13 18:27:24 2018	1520987244	184	27475	27659	27322
Tue Mar 13 18:27:24 2018	1520987244	177	27497	27673	27344
Tue Mar 13 18:27:24 2018	1520987244	187	27645	27832	27493
Tue Mar 13 18:27:24 2018	1520987244	137	27729	27865	27583
Tue Mar 13 18:27:24 2018	1520987244	187	27698	27886	27553
Tue Mar 13 18:27:24 2018	1520987244	194	27791	27985	27641
Tue Mar 13 18:27:24 2018	1520987244	141	27952	28093	27805
Tue Mar 13 18:27:24 2018	1520987244	172	27940	28112	27797
Tue Mar 13 18:27:24 2018	1520987244	177	27981	28158	27838
Tue Mar 13 18:27:24 2018	1520987244	194	28065	28259	27917
Tue Mar 13 18:27:24 2018	1520987244	174	28105	28279	27958
Tue Mar 13 18:27:24 2018	1520987244	187	28130	28317	27988
Tue Mar 13 18:27:24 2018	1520987244	174	28194	28368	28047
Tue Mar 13 18:27:24 2018	1520987244	174	28201	28374	28055
Tue Mar 13 18:27:24 2018	1520987244	176	28231	28407	28078
Tue Mar 13 18:27:24 2018	1520987244	184	28263	28448	28117
Tue Mar 13 18:27:24 2018	1520987244	179	28274	28453	28120
Tue Mar 13 18:27:24 2018	1520987244	184	28273	28457	28128
Tue Mar 13 18:27:24 2018	1520987244	185	28293	28477	28145
Tue Mar 13 18:27:24 2018	1520987244	177	28328	28504	28178
Tue Mar 13 18:27:24 2018	1520987244	151	28385	28536	28241
